time=128; height=666103; velocity=394; h=32547.360670960516
time=129; height=666493; velocity=386; h=32567.418860636517
time=130; height=666875; velocity=378; h=32587.074215774363
time=131; height=667249; velocity=370; h=32606.326835008174
time=132; height=667616; velocity=362; h=32625.176814689756
time=133; height=667974; velocity=354; h=32643.62424890607
time=134; height=668324; velocity=346; h=32661.669229496347
time=135; height=668667; velocity=338; h=32679.311846068358
time=136; height=669002; velocity=330; h=32696.552186015106
time=137; height=669328; velocity=322; h=32713.390334529966
time=138; height=669647; velocity=314; h=32729.82637462234
time=139; height=669958; velocity=307; h=32745.86038713249
time=140; height=670261; velocity=299; h=32761.492450745758
time=141; height=670556; velocity=291; h=32776.72264200673
time=142; height=670844; velocity=283; h=32791.5510353328
time=143; height=671123; velocity=276; h=32805.977703319855
time=144; height=671395; velocity=272; h=32820.00274777851
time=145; height=671659; velocity=273; h=32833.62640830918
time=146; height=671915; velocity=278; h=32846.84910868333
time=147; height=672163; velocity=289; h=32859.671465603016
time=148; height=672403; velocity=304; h=32872.094297236086
time=149; height=672636; velocity=323; h=32884.11863224623
time=150; height=672861; velocity=345; h=32895.74571935213
time=151; height=673078; velocity=371; h=32906.97703745111
time=152; height=673288; velocity=399; h=32917.81430635144
time=153; height=673490; velocity=430; h=32928.2594981563
time=154; height=673684; velocity=462; h=32938.31484934735
time=155; height=673871; velocity=497; h=32947.98287362176
time=156; height=674051; velocity=512; h=32957.2662939478
time=157; height=674223; velocity=509; h=32966.16652717993
time=158; height=674387; velocity=507; h=32974.68365812466
time=159; height=674545; velocity=504; h=32982.81772113684
time=160; height=674694; velocity=502; h=32990.56874898806
time=161; height=674837; velocity=500; h=32997.93677287218
